"lat","lng","website","name","province","color"
"52.026665","5.527406","www.oratoriumvereniging.nl","Christelijke Oratorium Vereniging Veenendaal","Utrecht","green"
"52.086887","4.891264","cowoerden.nl","Christelijk Oratoriumkoor Woerden","Zuid-Holland","blue"
"51.975727","4.254233","www.oratoriumkoordelier.nl","Oratoriumkoor De Lier","Zuid-Holland","blue"
"52.127498","4.660307","oratoriumkooralphen.nl","Oratoriumkoor Alphen","Zuid-Holland","blue"
"52.784826","4.797579","www.oratoriumkoor.nl","Oratoriumkoor Schagen","Noord-Holland","yellow"
"52.415417","5.879932","www.geldersoratoriumkoor.com","Gelders Oratoriumkoor","Gelderland","red"
"51.97915","5.913394","www.arnhemsoratoriumkoor.nl","Arnhems Oratoriumkoor","Gelderland","red"
"52.312696","5.622915","www.cov-nwveluwe.nl","Christelijke Oratorium Vereniging Noord-West Veluwe","Gelderland","red"
"52.956908","5.929824","toonkunstkoorheerenveen.nl","Toonkunstkoor Heerenveen","Friesland","orange"
"52.955894","5.930911","covheerenveen.nl","Christelijke Oratorium Vereniging Heerenveen","Friesland","orange"
"53.06003","5.523094","www.ovb-bolsward.nl","Oratorium Vereniging Bolsward","Friesland","orange"
"53.1002126","6.0746862","www.gloriadeo.nl","Christelijke Oratorium Vereniging Gloria Deo Drachten","Friesland","orange"
"52.991689","6.565409","www.covassen.nl","Christelijke Oratorium Vereniging Assen","Drenthe","brown"
"52.092133","5.086594","kovutrecht.nl","Koninklijke Oratorium Vereniging Utrecht","Utrecht","green"
"52.080295","5.095891","www.uov.nu","Utrechtse Oratorium Vereniging","Utrecht","green"
"52.324818","4.875175","www.kcovamsterdam.nl","Koninklijke Christelijke Oratorium Vereniging Amsterdam","Noord-Holland","yellow"
"51.964963","5.573849","euphonia-rhenen.nl","Christelijk Oratorium Vereniging Euphonia Rhenen","Utrecht","green"
"52.138167","5.583101","valeriusbarneveld.nl","Christelijk Oratorium Vereniging Valerius Barneveld","Gelderland","red"
"51.997763","5.677155","www.covbennekom.nl","Christelijk Oratorium Vereniging Bennekom","Gelderland","red"
"51.499788","3.887459","www.covgoes.nl","Christelijk Oratorium Vereniging Goes","Zeeland","gray"
"50.92571","5.936597","hovheerlen.nl","Heerlense Oratoriumvereniging","Limburg","black"
